C,Mn,Si,Cr,Mo,Ni,Al,V,Tq,AGS,Ms
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,850,3.0,361.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,850,3.6,364.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,850,3.8,369.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,850,2.6,362.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,850,3.3,366.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,850,3.2,368.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,950,4.0,380.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,1050,7.0,379.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,950,4.0,372.0
0.15,1.9,0.2,0.2,0.0,0.0,0.03,0.0,1050,7.0,375.0
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,6.9,341.0788
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,7.0,330.06686
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,7.1,332.1316
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,7.2,324.2775
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,7.5,315.3303
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,7.7,309.17657
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,7.9,300.77592
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,8.4,293.87322
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,8.7,280.79654
0.39,0.65,0.24,0.67,0.15,1.6,0.0,0.0,900,9.3,327.45558
0.06,0.43,0.0,0.0,0.0,0.0,0.0,0.0,913,7.0,496.0
0.17,0.92,0.0,0.0,0.0,0.0,0.0,0.0,1316,2.0,424.0
0.2,0.81,0.0,0.0,0.0,0.0,0.0,0.0,927,8.0,429.0
0.35,0.37,0.0,0.0,0.0,0.0,0.0,0.0,843,3.0,385.0
0.5,0.91,0.0,0.0,0.0,0.0,0.0,0.0,910,8.0,320.0
0.54,0.46,0.0,0.0,0.0,0.0,0.0,0.0,910,8.0,324.0
0.63,0.87,0.0,0.0,0.0,0.0,0.0,0.0,816,5.0,271.0
0.64,1.13,0.0,0.0,0.0,0.0,0.0,0.0,910,7.0,264.0
0.79,0.76,0.0,0.0,0.0,0.0,0.0,0.0,899,6.0,222.0
0.89,0.29,0.0,0.0,0.0,0.0,0.0,0.0,885,4.0,216.0
1.13,0.3,0.0,0.0,0.0,0.0,0.0,0.0,910,7.0,211.0
0.2,1.88,0.0,0.0,0.0,0.0,0.0,0.0,927,7.0,397.0
0.6,1.88,0.0,0.0,0.0,0.0,0.0,0.0,927,7.0,258.0
0.8,1.88,0.0,0.0,0.0,0.0,0.0,0.0,927,6.0,176.0
1.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,927,8.0,109.0
1.2,1.88,0.0,0.0,0.0,0.0,0.0,0.0,927,7.0,59.0
0.56,0.26,0.0,0.0,0.0,1.97,0.0,0.0,804,9.0,286.0
0.37,0.68,0.0,0.0,0.0,3.41,0.0,0.0,788,8.0,300.0
0.59,0.28,0.0,0.0,0.0,3.9,0.0,0.0,804,9.0,251.0
0.1,0.52,0.0,0.0,0.0,5.0,0.0,0.0,927,8.0,432.0
0.8,0.52,0.0,0.0,0.0,5.0,0.0,0.0,927,6.0,129.0
1.0,0.52,0.0,0.0,0.0,5.0,0.0,0.0,927,7.0,80.9
1.2,0.52,0.0,0.0,0.0,5.0,0.0,0.0,927,7.0,33.0
0.42,0.68,0.0,0.93,0.0,0.0,0.0,0.0,843,7.0,329.0
0.61,0.94,0.0,0.88,0.0,0.0,0.0,0.0,843,7.0,241.0
1.02,0.36,0.0,1.41,0.0,0.2,0.0,0.0,843,9.0,240.0
0.11,0.44,0.37,12.18,0.0,0.16,0.0,0.0,982,6.5,359.0
0.11,0.38,0.44,5.46,0.42,0.0,0.0,0.0,899,7.5,430.0
0.22,0.54,0.64,12.46,0.99,0.0,0.0,0.29,1010,4.5,283.0
0.26,0.87,0.0,0.0,0.26,0.0,0.0,0.0,857,7.0,398.0
0.97,1.04,0.0,0.0,0.32,0.0,0.0,0.0,843,7.5,175.0
0.22,0.79,0.0,0.0,0.5,0.0,0.0,0.0,899,8.5,411.0
0.1,1.63,0.0,0.0,0.41,0.0,0.0,0.0,1093,5.5,430.0
0.4,0.42,0.0,0.0,0.53,0.0,0.0,0.0,871,6.5,362.0
0.41,0.6,0.0,0.0,0.21,3.51,0.0,0.0,871,7.5,298.0
0.39,0.56,0.0,0.0,0.74,3.53,0.0,0.0,871,8.5,290.0
0.55,0.78,1.62,0.77,0.0,0.0,0.0,0.0,899,6.0,272.0
0.62,0.82,2.01,0.07,0.0,0.0,0.0,0.0,871,6.5,254.0
0.62,0.95,2.01,0.15,0.0,0.0,0.0,0.0,871,6.5,249.0
0.62,0.86,2.13,0.33,0.0,0.0,0.0,0.0,871,6.0,247.2
0.33,0.84,0.0,1.05,1.07,0.0,0.0,0.26,1010,7.0,351.0
0.2,1.44,0.0,0.0,0.0,0.49,0.0,0.09,843,12.0,388.0
0.27,0.84,0.0,0.73,0.9,0.6,0.0,0.11,927,7.0,374.0
0.25,0.88,0.0,0.73,0.88,0.59,0.0,0.23,1010,6.0,377.0
0.38,0.72,0.0,0.49,0.0,1.32,0.0,0.0,843,7.5,335.0
0.11,0.45,0.0,1.52,0.0,3.33,0.0,0.0,899,9.0,422.0
0.6,0.45,0.0,1.52,0.0,3.33,0.0,0.0,927,6.0,233.0
0.33,0.53,0.0,0.9,0.18,0.0,0.0,0.0,843,9.5,362.0
0.37,0.77,0.0,0.98,0.21,0.0,0.0,0.0,843,7.5,339.7
0.55,0.6,0.0,1.03,0.19,0.36,0.0,0.0,843,7.5,270.0
0.17,0.57,0.0,0.45,0.24,1.87,0.0,0.0,927,7.0,397.2
0.42,0.78,0.0,0.8,0.33,1.79,0.0,0.0,843,7.5,283.5
0.62,0.54,0.0,0.6,0.32,1.79,0.0,0.0,982,8.0,217.4
0.15,0.63,0.0,0.0,0.24,1.9,0.0,0.0,927,8.0,461.7
0.16,0.52,0.0,0.0,0.19,3.36,0.0,0.0,899,8.5,382.0
0.57,0.82,0.0,1.07,0.26,1.16,0.0,0.0,927,4.5,254.0
0.17,0.57,0.0,0.45,0.24,1.87,0.0,0.0,927,7.0,393.0
0.15,0.63,0.0,0.0,0.24,1.9,0.0,0.0,927,8.0,407.0
0.44,0.9,0.0,0.54,0.22,0.53,0.0,0.0,843,9.5,298.0
0.57,0.82,0.0,1.07,0.26,1.16,0.0,0.0,927,4.5,255.0
0.41,0.57,0.0,1.57,0.36,0.0,1.26,0.0,927,7.5,328.0
0.63,0.87,0.0,0.0,0.0,0.0,0.0,0.0,818,5.5,394.0
0.17,0.57,0.0,0.45,0.24,1.87,0.0,0.0,927,7.0,368.0
